MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	MN175679	100.000	0.171
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	MN175679	100.000	0.171
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	MN175679	100.000	0.171
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	MN175679	100.000	0.171
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	MN175679	100.000	0.171
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	MH925093	99.500	0.167
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	MH925093	99.400	0.167
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	MH925093	98.800	0.169
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	MN102376	98.300	0.168
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	OK349507	97.800	0.166
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	MN175679	100.000	0.147
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	MN102376	96.900	0.153
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	MW423737	98.300	0.146
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	MN102376	97.300	0.149
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	OK349507	97.300	0.147
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	MW423737	97.600	0.146
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	MT135025	95.400	0.132
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	MH925093	99.600	0.114
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	MH925093	99.300	0.105
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	MN102376	97.800	0.108
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	MW423739	98.400	0.102
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	MN102376	89.300	0.132
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	OK349507	98.000	0.099
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	MW423738	90.300	0.123
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	MW423738	98.300	0.085
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	MN102376	97.600	0.080
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	MT135025	98.700	0.066
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	MW423739	96.300	0.068
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	MT135025	87.300	0.091
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	OK349507	92.600	0.070
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	OK349507	97.100	0.054
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	OK349507	97.000	0.051
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	MW423738	95.400	0.048
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	MW423739	95.100	0.046
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	MW423739	97.300	0.040
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	MT135025	88.900	0.048
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	MT135025	82.100	0.059
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	MW423738	86.600	0.048
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	MT135025	93.700	0.037
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	MT135025	86.300	0.038
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	MW423737	99.000	0.024
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	MW423737	88.800	0.030
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	MT135025	85.800	0.030
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	MT135025	94.000	0.019
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	MW423737	96.800	0.014
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	MT135024	95.700	0.014
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	MT135025	83.400	0.020
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	KX198614	75.300	0.030
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	ON457559	71.900	0.038
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	ON457558	72.100	0.036
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	ON457559	76.200	0.026
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	ON457558	76.200	0.026
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	KX198614	75.200	0.026
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	MW114771	74.400	0.026
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	OK349507	97.900	0.009
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	MT795651	72.800	0.027
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	OK349507	99.500	0.007
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	ON457558	73.300	0.020
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	ON457559	73.400	0.019
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	MT795651	79.100	0.012
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	MT795651	72.300	0.019
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	MT135025	81.500	0.011
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	MT795651	73.300	0.016
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	ON457559	72.000	0.016
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	ON457558	72.000	0.016
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	MW114771	73.900	0.013
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	KX198614	75.700	0.011
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	OK349507	100.000	0.004
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	OP331229	67.000	0.021
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	MW451249	67.000	0.021
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	MH925093	100.000	0.003
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	MH925093	100.000	0.003
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	OK349507	89.300	0.004
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	MH925093	99.400	0.003
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	KX198614	70.900	0.011
MN175679.1_Vibrio_phage_vB_VpS_BA3,_complete_genome	ON457559	67.300	0.016
